Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4013,192,88000.0,82785.09669325172,87.16407500003243,168270.31800800012,9406.34413157239,22.45382815378173,1.0742923014019665,88000,104000,110000,114000,124000,131000,140000,148000,159000,168000,168000
GET,/cart,236,22,67000.0,62941.825485957605,3.171407000081672,115611.30507100007,5867.635593220339,1.3204842871399172,0.12309599286897532,67000,86000,94000,97000,102000,105000,109000,113000,116000,116000,116000
POST,/cart,38,33,82,14941.79702007895,17.071081000040067,144300.48710400012,2112.184210526316,0.2126203513191392,0.18464398930346299,83,100,100,120,79000,142000,144000,144000,144000,144000,144000
POST,/cart/checkout,8,8,14,13.617987999978709,5.013740999970651,19.59659900001043,0.0,0.04476217922508194,0.04476217922508194,15,17,17,17,20,20,20,20,20,20,20
GET,/product/0PUK6V6EV0,82,9,66000.0,65051.56261436588,126.05416399992464,123918.57540499995,6555.951219512195,0.45881233705708985,0.05035745162821718,67000,87000,98000,101000,116000,118000,123000,124000,124000,124000,124000
GET,/product/1YMWWN1N4O,96,12,58000.0,59335.39665837498,136.1356339999702,124715.71025700007,6467.479166666667,0.5371461507009833,0.06714326883762291,58000,78000,91000,96000,103000,112000,123000,125000,125000,125000,125000
GET,/product/2ZYFJ3GM2N,97,14,56000.0,55297.42057242268,124.9050010000019,127017.42718499998,6327.515463917526,0.5427414231041185,0.07833381364389339,56000,68000,77000,83000,106000,115000,121000,127000,127000,127000,127000
GET,/product/66VCHSJNUP,86,15,65000.0,58466.13834238372,135.11462900009974,124997.4918029999,6068.511627906977,0.48119342666963083,0.08392908604702863,66000,80000,90000,99000,109000,117000,123000,125000,125000,125000,125000
GET,/product/6E92ZMYYFZ,70,14,54000.0,54369.80599340001,2.8204569999843443,122599.45344900007,5877.428571428572,0.39166906821946695,0.07833381364389339,55000,74000,82000,93000,113000,119000,122000,123000,123000,123000,123000
GET,/product/9SIQT8TOJO,86,21,56000.0,56985.71339682559,137.4711319999733,127153.4240709999,5574.372093023256,0.48119342666963083,0.11750072046584009,56000,79000,93000,97000,117000,122000,126000,127000,127000,127000,127000
GET,/product/L9ECAV7KIM,98,11,72000.0,66792.07221009184,149.618845999953,139911.44108100003,6530.602040816327,0.5483366955072537,0.06154799643448766,73000,91000,99000,105000,117000,120000,126000,140000,140000,140000,140000
GET,/product/LS4PSXUNUM,80,14,69000.0,62508.630478350016,125.5121289999579,128509.95629399995,6068.55,0.4476217922508194,0.07833381364389339,69000,85000,94000,101000,111000,120000,126000,129000,129000,129000,129000
GET,/product/OLJCESPC7Z,90,15,73000.0,61700.85748683335,4.102526999986367,121612.37001500001,6151.466666666666,0.5035745162821718,0.08392908604702863,74000,83000,92000,96000,102000,117000,120000,122000,122000,122000,122000
POST,/setCurrency,53,24,23000.0,46367.60323632074,136.7140569999492,153934.02206200006,5411.452830188679,0.29654943736616785,0.13428653767524582,23000,76000,91000,95000,131000,140000,151000,154000,154000,154000,154000
,Aggregated,5133,404,83000.0,77405.9334529098,2.8204569999843443,168270.31800800012,8642.811026690044,28.720533245293197,2.260490050866638,83000,101000,107000,111000,122000,129000,138000,146000,158000,168000,168000
