Method,Name,Error,Occurrences
GET,/product/2ZYFJ3GM2N,"ConnectionRefusedError(111, 'Connection refused')",20
GET,/product/0PUK6V6EV0,"ConnectionRefusedError(111, 'Connection refused')",20
GET,/product/1YMWWN1N4O,"ConnectionRefusedError(111, 'Connection refused')",26
GET,/product/OLJCESPC7Z,"ConnectionRefusedError(111, 'Connection refused')",22
POST,/cart,"ConnectionRefusedError(111, 'Connection refused')",51
GET,/,"ConnectionRefusedError(111, 'Connection refused')",320
POST,/setCurrency,"ConnectionRefusedError(111, 'Connection refused')",18
POST,/cart/checkout,"ConnectionRefusedError(111, 'Connection refused')",20
GET,/product/66VCHSJNUP,"ConnectionRefusedError(111, 'Connection refused')",18
GET,/cart,"ConnectionRefusedError(111, 'Connection refused')",36
GET,/product/9SIQT8TOJO,"ConnectionRefusedError(111, 'Connection refused')",25
GET,/product/6E92ZMYYFZ,"ConnectionRefusedError(111, 'Connection refused')",19
GET,/product/L9ECAV7KIM,"ConnectionRefusedError(111, 'Connection refused')",29
GET,/product/LS4PSXUNUM,"ConnectionRefusedError(111, 'Connection refused')",32
