Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1691,284,74000.0,68817.40996392132,1.2563060008687899,168036.93510399899,8219.842105263158,9.632735173224097,1.6177982195125034,74000,107000,116000,122000,143000,152000,161000,165000,167000,168000,168000
GET,/cart,140,50,26000.0,41717.15292411434,1.2158690005890094,144799.4916409989,4158.042857142857,0.7975061645484172,0.28482363019586326,28000,65000,73000,81000,106000,120000,127000,133000,145000,145000,145000
POST,/cart,47,46,15,3553.8335197872702,0.9188330004690215,166310.02193099994,341.6808510638298,0.2677342123841115,0.26203773978019423,15,19,25,26,30,30,166000,166000,166000,166000,166000
POST,/cart/checkout,13,13,3,2.912224231225152,0.8093920005194377,5.162744000699604,0.0,0.07405414385092446,0.07405414385092446,3,4,4,5,5,5,5,5,5,5,5
GET,/product/0PUK6V6EV0,50,19,28000.0,41357.754767339575,1.2108399969292805,141509.53034699705,4558.56,0.28482363019586326,0.10823297947442805,33000,68000,78000,85000,103000,107000,142000,142000,142000,142000,142000
GET,/product/1YMWWN1N4O,59,17,40000.0,45801.82805716957,40.419859000394354,154201.37195400093,5243.6949152542375,0.3360918836311187,0.09684003426659352,40000,68000,71000,84000,107000,117000,151000,154000,154000,154000,154000
GET,/product/2ZYFJ3GM2N,70,30,12000.0,34641.33177102855,1.3959889984107576,138999.96276599995,4203.785714285715,0.3987530822742086,0.17089417811751798,14000,51000,63000,67000,113000,119000,135000,139000,139000,139000,139000
GET,/product/66VCHSJNUP,53,12,34000.0,42213.28463722636,1.5585100009047892,125270.5217699986,5689.962264150943,0.3019130480076151,0.06835767124700719,34000,51000,66000,79000,102000,118000,122000,125000,125000,125000,125000
GET,/product/6E92ZMYYFZ,77,29,25000.0,44876.093572233534,0.9144329997070599,166594.2407149996,4555.766233766234,0.43862839050162944,0.1651977055136007,25000,68000,86000,103000,109000,119000,166000,167000,167000,167000,167000
GET,/product/9SIQT8TOJO,71,31,16000.0,42199.01379871794,1.215729000250576,163536.1974890002,4152.2535211267605,0.40444955487812584,0.17659065072143523,16000,66000,77000,88000,113000,124000,163000,164000,164000,164000,164000
GET,/product/L9ECAV7KIM,62,22,19000.0,43940.2893733227,1.2017609988106415,166328.3969180011,4742.193548387097,0.35318130144287047,0.12532239728617983,24000,61000,76000,79000,118000,124000,165000,166000,166000,166000,166000
GET,/product/LS4PSXUNUM,70,26,23000.0,43625.64770681425,1.300377000006847,166345.68608100017,4610.6,0.3987530822742086,0.14810828770184892,26000,62000,77000,94000,117000,162000,166000,166000,166000,166000,166000
GET,/product/OLJCESPC7Z,65,25,20000.0,40438.72322753847,37.801506001414964,165989.6886610004,4541.3538461538465,0.37027071925462224,0.14241181509793163,20000,48000,67000,71000,121000,152000,165000,166000,166000,166000,166000
POST,/setCurrency,30,19,59,27545.47584510013,0.9218359991791658,161071.69638300184,3627.233333333333,0.17089417811751798,0.10823297947442805,62,19000,43000,57000,121000,161000,161000,161000,161000,161000,161000
,Aggregated,2498,623,50000.0,59045.10262079015,0.8093920005194377,168036.93510399899,6924.517213771017,14.229788564585329,3.5489024322404563,50000,86000,109000,115000,134000,151000,161000,165000,167000,168000,168000
