Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6416,0,49000.0,46123.86965801415,47.669794999819715,90559.27880499985,9879.149625935162,35.67658885145352,0.0,49000,59000,64000,66000,72000,77000,81000,83000,89000,91000,91000
GET,/cart,1234,0,46000.0,42486.80064598138,1306.5842739997606,71397.71510399987,6557.231766612642,6.861737943063225,0.0,46000,50000,53000,54000,57000,60000,64000,65000,71000,71000,71000
POST,/cart,296,0,77000.0,72245.73459632094,5300.561443000333,117801.82622400025,16074.516891891892,1.6459274158401251,0.0,77000,84000,89000,91000,96000,103000,108000,109000,118000,118000,118000
POST,/cart/checkout,38,0,53000.0,49393.294822921096,10505.566929000452,70293.97090600015,6387.710526315789,0.21130149257407013,0.0,55000,62000,64000,65000,65000,67000,70000,70000,70000,70000,70000
GET,/product/0PUK6V6EV0,586,0,52000.0,48176.379521071685,705.3929749999952,79791.88779099968,7284.554607508532,3.2584914381159233,0.0,52000,58000,61000,62000,64000,68000,74000,76000,80000,80000,80000
GET,/product/1YMWWN1N4O,610,0,52000.0,47944.815094404934,854.5656400001462,79917.08353699959,7292.934426229508,3.391945012373231,0.0,52000,59000,61000,62000,65000,67000,73000,76000,80000,80000,80000
GET,/product/2ZYFJ3GM2N,641,0,53000.0,49154.430877396335,1907.8651800000443,85430.36640599984,7307.639625585023,3.5643225457889196,0.0,53000,59000,61000,62000,65000,69000,75000,77000,85000,85000,85000
GET,/product/66VCHSJNUP,617,0,54000.0,48883.838993771526,2297.8595479999058,87261.02474100026,7274.2350081037275,3.4308689715316123,0.0,54000,59000,61000,62000,65000,68000,75000,77000,87000,87000,87000
GET,/product/6E92ZMYYFZ,558,0,53000.0,48242.81734494801,1705.427179000253,84926.91507000018,7254.250896057348,3.102795601482398,0.0,53000,58000,61000,62000,65000,68000,74000,77000,85000,85000,85000
GET,/product/9SIQT8TOJO,610,0,52000.0,47742.12066727862,1305.6546880006863,79195.77716299956,7312.937704918033,3.391945012373231,0.0,52000,58000,60000,62000,65000,68000,72000,73000,79000,79000,79000
GET,/product/L9ECAV7KIM,632,0,51000.0,47666.07603099997,1504.6310770003402,81096.08838399981,7259.528481012659,3.5142774554424294,0.0,51000,58000,60000,61000,65000,67000,73000,74000,81000,81000,81000
GET,/product/LS4PSXUNUM,593,0,50000.0,46781.68815314505,1399.9801820000357,84805.66437700053,7270.686340640809,3.297415397274305,0.0,50000,57000,60000,61000,64000,67000,74000,75000,85000,85000,85000
GET,/product/OLJCESPC7Z,573,0,52000.0,47743.01685520417,1298.9802379997855,82804.37500399967,7300.818499127399,3.186204085393215,0.0,52000,58000,60000,61000,65000,68000,73000,76000,83000,83000,83000
POST,/setCurrency,494,0,75000.0,72292.37695522877,3699.4263139995383,114703.08402199953,9893.085020242916,2.7469194034629116,0.0,75000,86000,92000,95000,99000,105000,109000,109000,115000,115000,115000
,Aggregated,13898,0,51000.0,48046.19560448172,47.669794999819715,117801.82622400025,8695.188732191682,77.28074062616912,0.0,51000,59000,62000,64000,71000,78000,86000,94000,109000,115000,118000
