Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6606,0,34000.0,31965.572141885834,43.07439600052021,70691.07614799941,9879.293521041478,36.731850451240014,0.0,34000,42000,45000,46000,51000,54000,57000,59000,66000,71000,71000
GET,/cart,2054,0,33000.0,30666.084545164056,2610.2985030001946,55795.209097000225,6719.399221032132,11.421014354654403,0.0,33000,35000,37000,38000,41000,44000,45000,47000,52000,56000,56000
POST,/cart,849,0,62000.0,57148.631220490024,4314.682785000514,85786.09582799982,16086.693757361601,4.720760071617131,0.0,62000,66000,68000,70000,73000,76000,79000,81000,86000,86000,86000
POST,/cart/checkout,120,0,41000.0,40805.24473590827,6774.483891000273,66606.70889199991,6385.575,0.6672452398045415,0.0,42000,47000,49000,50000,54000,57000,61000,63000,67000,67000,67000
GET,/product/0PUK6V6EV0,973,0,39000.0,36754.17554080473,998.5788550002326,65342.68471499945,7327.522096608427,5.410246819415158,0.0,39000,44000,46000,47000,51000,54000,58000,60000,65000,65000,65000
GET,/product/1YMWWN1N4O,974,0,39000.0,36393.946085256655,2924.7738499998377,64351.919962000466,7351.758726899384,5.415807196413529,0.0,39000,43000,45000,46000,50000,52000,55000,56000,64000,64000,64000
GET,/product/2ZYFJ3GM2N,931,0,38000.0,36381.994232007564,3012.658546000239,69634.95465500001,7354.0204081632655,5.1767109854835685,0.0,38000,43000,45000,46000,50000,53000,56000,57000,70000,70000,70000
GET,/product/66VCHSJNUP,954,0,40000.0,37543.06268451887,1002.7214900001127,64899.09336499932,7320.74109014675,5.304599656446105,0.0,40000,44000,46000,48000,51000,53000,56000,58000,65000,65000,65000
GET,/product/6E92ZMYYFZ,906,0,39000.0,36119.37798828147,1172.450938000111,63602.199168999505,7309.900662251655,5.0377015605242885,0.0,39000,43000,45000,46000,50000,53000,56000,58000,64000,64000,64000
GET,/product/9SIQT8TOJO,934,0,39000.0,36474.287320029965,2196.7109879997224,61815.67713199911,7360.357601713062,5.193392116478682,0.0,39000,43000,46000,47000,51000,53000,56000,59000,62000,62000,62000
GET,/product/L9ECAV7KIM,963,0,39000.0,36490.666325249185,1475.312658999428,68425.07106799984,7320.219106957425,5.354643049431446,0.0,39000,43000,45000,47000,50000,53000,55000,58000,68000,68000,68000
GET,/product/LS4PSXUNUM,975,0,39000.0,37228.11150364825,2813.8781309999104,73238.28064000008,7323.455384615385,5.4213675734119,0.0,39000,43000,46000,48000,51000,53000,56000,58000,73000,73000,73000
GET,/product/OLJCESPC7Z,939,0,39000.0,36738.90061725874,2211.6512940001485,68682.71901800018,7360.11821086262,5.221194001470537,0.0,39000,43000,45000,47000,50000,52000,55000,57000,69000,69000,69000
POST,/setCurrency,1097,0,58000.0,54371.9538394549,3217.2123890004514,90195.75250499928,9893.206016408387,6.099733567213184,0.0,58000,63000,67000,69000,74000,78000,82000,85000,90000,90000,90000
,Aggregated,19275,0,38000.0,36359.98347402822,43.07439600052021,90195.75250499928,8667.189883268482,107.17626664360448,0.0,38000,43000,46000,48000,54000,61000,70000,74000,84000,90000,90000
