Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//localhost:12345/,32,32,8,8.042271187463257,5.757488999734051,14.269930000409659,0.0,1.1067395195386123,1.1067395195386123,8,8,9,9,10,12,14,14,14,14,14
GET,//localhost:12345/cart,20,20,7,7.25030075000177,4.41793800018786,9.83083200026158,0.0,0.6917121997116327,0.6917121997116327,7,8,9,9,10,10,10,10,10,10,10
POST,//localhost:12345/cart,20,20,7,6.83720959987113,4.033113999867055,15.503044000070076,0.0,0.6917121997116327,0.6917121997116327,7,7,8,8,9,16,16,16,16,16,16
POST,//localhost:12345/cart/checkout,8,8,7,6.884733374931784,4.5602039999721455,11.114789999737695,0.0,0.27668487988465307,0.27668487988465307,7,7,7,7,11,11,11,11,11,11,11
GET,//localhost:12345/product/0PUK6V6EV0,3,3,8,7.74996233364315,6.533284000397543,8.51872600014758,0.0,0.1037568299567449,0.1037568299567449,8,8,9,9,9,9,9,9,9,9,9
GET,//localhost:12345/product/1YMWWN1N4O,6,6,7,7.977807666672258,6.338776999655238,13.915208000071289,0.0,0.2075136599134898,0.2075136599134898,7,7,8,8,14,14,14,14,14,14,14
GET,//localhost:12345/product/2ZYFJ3GM2N,11,11,8,7.946847727246429,5.57038500028284,11.139094000100158,0.0,0.38044170984139797,0.38044170984139797,8,8,9,9,10,11,11,11,11,11,11
GET,//localhost:12345/product/66VCHSJNUP,6,6,8,7.882742166657408,6.675341000118351,8.722662999389286,0.0,0.2075136599134898,0.2075136599134898,9,9,9,9,9,9,9,9,9,9,9
GET,//localhost:12345/product/6E92ZMYYFZ,6,6,7,6.950096166595661,5.4420870001195,7.907966999482596,0.0,0.2075136599134898,0.2075136599134898,8,8,8,8,8,8,8,8,8,8,8
GET,//localhost:12345/product/9SIQT8TOJO,6,6,7,6.597887166662986,5.077516000710602,7.673789000364195,0.0,0.2075136599134898,0.2075136599134898,7,7,7,7,8,8,8,8,8,8,8
GET,//localhost:12345/product/L9ECAV7KIM,7,7,8,7.474981571509228,5.183115999898291,9.597422000297229,0.0,0.24209926989907143,0.24209926989907143,8,9,9,9,10,10,10,10,10,10,10
GET,//localhost:12345/product/LS4PSXUNUM,12,12,6,6.684301000101793,5.137822000506276,8.906834000299568,0.0,0.4150273198269796,0.4150273198269796,7,7,8,8,8,9,9,9,9,9,9
GET,//localhost:12345/product/OLJCESPC7Z,14,14,6,6.518030500046734,4.6299050000015995,8.33790799970302,0.0,0.48419853979814287,0.48419853979814287,7,7,8,8,8,8,8,8,8,8,8
POST,//localhost:12345/setCurrency,4,4,6,6.377312000040547,5.187935999856563,7.954620999953477,0.0,0.13834243994232653,0.13834243994232653,6,6,8,8,8,8,8,8,8,8,8
,Aggregated,155,155,7,7.294163361280704,4.033113999867055,15.503044000070076,0.0,5.360769547765153,5.360769547765153,7,8,8,8,9,10,12,14,16,16,16
