Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1694181406,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694181407,1,,Aggregated,0.000000,0.000000,6,6,10,10,10,10,10,10,10,10,10,3,3,6,6.538712000292435,4.111948000172561,9.83935600015684,0.0
1694181408,2,,Aggregated,0.000000,0.000000,6,6,6,6,10,10,10,10,10,10,10,6,6,5,5.898678333475497,4.111948000172561,9.83935600015684,0.0
1694181409,3,,Aggregated,0.000000,0.000000,6,6,7,7,10,10,10,10,10,10,10,9,9,6,6.1611897779382865,4.111948000172561,9.83935600015684,0.0
1694181410,4,,Aggregated,3.000000,3.000000,6,7,9,9,10,12,12,12,12,12,12,11,11,6,6.952795272892135,4.111948000172561,12.392622999868763,0.0
1694181411,5,,Aggregated,3.000000,3.000000,7,8,8,9,10,12,12,12,12,12,12,14,14,6,6.9859451429822785,4.111948000172561,12.392622999868763,0.0
1694181412,6,,Aggregated,3.000000,3.000000,7,7,8,8,9,10,12,12,12,12,12,21,21,7,6.8870499048249,4.111948000172561,12.392622999868763,0.0
1694181413,7,,Aggregated,2.800000,2.800000,7,7,8,8,9,10,12,12,12,12,12,24,24,7,6.91827212502479,4.111948000172561,12.392622999868763,0.0
1694181414,8,,Aggregated,2.800000,2.800000,7,8,8,8,9,10,12,12,12,12,12,28,28,7,6.992993678620353,4.111948000172561,12.392622999868763,0.0
1694181415,9,,Aggregated,3.500000,3.500000,7,7,8,8,8,10,12,12,12,12,12,33,33,7,6.967086666697993,4.111948000172561,12.392622999868763,0.0
1694181416,10,,Aggregated,3.285714,3.285714,7,7,8,8,9,9,12,12,12,12,12,42,42,7,7.117348880954177,4.111948000172561,12.392622999868763,0.0
1694181417,11,,Aggregated,3.500000,3.500000,7,7,8,8,9,9,12,12,12,12,12,46,46,7,7.084130239115399,4.111948000172561,12.392622999868763,0.0
1694181418,12,,Aggregated,3.666667,3.666667,7,7,8,8,9,9,12,12,12,12,12,48,48,7,7.10848693747342,4.111948000172561,12.392622999868763,0.0
1694181419,13,,Aggregated,4.300000,4.300000,7,7,8,8,9,9,10,12,12,12,12,54,54,7,7.010527981458802,4.111948000172561,12.392622999868763,0.0
1694181420,14,,Aggregated,4.200000,4.200000,7,7,8,8,9,9,10,12,12,12,12,57,57,7,7.0285459649057245,4.111948000172561,12.392622999868763,0.0
1694181421,15,,Aggregated,4.400000,4.400000,7,8,8,8,9,12,14,16,16,16,16,62,62,7,7.468342790323203,4.111948000172561,15.503044000070076,0.0
1694181422,16,,Aggregated,4.500000,4.500000,7,8,8,8,9,12,14,16,16,16,16,68,68,7,7.367809426475159,4.033113999867055,15.503044000070076,0.0
1694181423,17,,Aggregated,4.700000,4.700000,7,7,8,8,9,12,14,16,16,16,16,73,73,7,7.228914095894776,4.033113999867055,15.503044000070076,0.0
1694181424,18,,Aggregated,4.700000,4.700000,7,7,8,8,9,12,14,16,16,16,16,78,78,7,7.189764666656209,4.033113999867055,15.503044000070076,0.0
1694181425,19,,Aggregated,4.900000,4.900000,7,7,8,8,9,11,14,16,16,16,16,83,83,7,7.1576856144567875,4.033113999867055,15.503044000070076,0.0
1694181426,20,,Aggregated,4.900000,4.900000,7,7,8,8,9,11,14,16,16,16,16,87,87,7,7.117984379310029,4.033113999867055,15.503044000070076,0.0
