Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,35,0,10,10.21801522851352,4.495670999858703,14.755328000319423,9913.542857142857,1.2050857054776973,0.0,10,12,13,14,14,14,15,15,15,15,15
GET,/cart,20,0,11,9.034053549885357,3.6500349997368176,13.167979000172636,9354.9,0.6886204031301127,0.0,11,11,12,12,13,13,13,13,13,13,13
POST,/cart,21,0,14,12.446095095150493,5.766498999946634,16.290574999402452,16216.42857142857,0.7230514232866184,0.0,14,14,15,15,16,16,16,16,16,16,16
POST,/cart/checkout,6,0,8,9.21593933329253,5.72263899994141,12.297968999519071,6407.5,0.20658612093903383,0.0,10,10,12,12,12,12,12,12,12,12,12
GET,/product/0PUK6V6EV0,5,0,10,9.138260000145237,4.757226000037917,12.405663000208733,7531.2,0.1721551007825282,0.0,10,11,11,12,12,12,12,12,12,12,12
GET,/product/1YMWWN1N4O,8,0,9,9.44183512501695,3.9263259996005218,13.255210999886913,7556.0,0.2754481612520451,0.0,12,13,13,13,13,13,13,13,13,13,13
GET,/product/2ZYFJ3GM2N,8,0,10,8.985937999909765,4.206389000501076,12.659117000112019,7527.75,0.2754481612520451,0.0,11,11,12,12,13,13,13,13,13,13,13
GET,/product/66VCHSJNUP,11,0,10,9.572978818306927,4.858844999944267,12.97326200074167,7503.818181818182,0.378741221721562,0.0,10,12,12,12,13,13,13,13,13,13,13
GET,/product/6E92ZMYYFZ,8,0,12,11.665252000170767,4.7285210002883105,15.053758000249218,7497.875,0.2754481612520451,0.0,13,13,14,14,15,15,15,15,15,15,15
GET,/product/9SIQT8TOJO,6,0,5.023390999667754,9.0513008334104,5.023390999667754,14.458572999501484,7540.666666666667,0.20658612093903383,0.0,12,12,12,12,14,14,14,14,14,14,14
GET,/product/L9ECAV7KIM,4,0,11,11.269820749930659,8.532695999747375,13.082145000225864,7509.0,0.13772408062602254,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/product/LS4PSXUNUM,12,0,8,8.877320749964687,4.86149900007149,13.064683999800764,7530.583333333333,0.41317224187806767,0.0,11,11,12,12,12,13,13,13,13,13,13
GET,/product/OLJCESPC7Z,9,0,11,10.618313666681287,5.465764000291529,13.086335000480176,7558.0,0.30987918140855075,0.0,11,13,13,13,13,13,13,13,13,13,13
POST,/setCurrency,7,0,17,14.900497428503254,6.67617999988579,18.10937600021134,9936.0,0.24101714109553946,0.0,17,17,18,18,18,18,18,18,18,18,18
,Aggregated,160,0,11,10.328104668724336,3.6500349997368176,18.10937600021134,9482.0875,5.508963225040902,0.0,11,12,13,13,14,16,17,18,18,18,18
